description,quantity,price,status
Dickens Group,93,646,Hidden
Batz Rodriguez and Lueilwitz,46,1318,Shown
Torphy Schmidt,79,303,Hidden
Reichel LLC,89,903,Shown
Conn Hahn and Gerhold,58,530,Hidden
Connelly Gorczany,21,421,Hidden
Padberg LLC,30,1082,Hidden
Schoen Group,92,1301,Shown
Weber Lueilwitz and Waters,5,496,Hidden
Huel Nienow,37,931,Shown
Friesen Baumbach,32,1072,Shown
Spinka Lindgren,99,1359,Hidden
Kunde LLC,21,1167,Hidden
Glover Ullrich,88,647,Shown
Lowe Pfannerstill,73,869,Shown
Champlin Pagac,67,700,Hidden
Baumbach Johnston and Cummerata,65,1354,Hidden
Carroll Hoeger and Kuhlman,32,870,Shown
O'Keefe LLC,50,281,Hidden
Witting Hessel,16,474,Shown
Macejkovic Group,10,810,Hidden
Bernier Wintheiser,84,1030,Hidden
Robel Rolfson and Osinski,46,306,Hidden
Hansen Murphy,56,208,Hidden
Stiedemann Group,56,1346,Shown
Kuphal O'Connell and Marks,16,16,Hidden
Nienow Inc,4,559,Shown
Walsh Simonis,79,164,Hidden
Franecki Group,83,187,Shown
Lynch O'Keefe,15,206,Shown
Stiedemann Luettgen,27,478,Hidden
Hagenes Kihn,10,1394,Shown
Gottlieb Toy,17,728,Hidden
Wolff Group,5,1217,Shown
Heaney Group,51,1203,Hidden
Maggio Schoen,36,741,Shown
Sawayn Group,46,177,Shown
Nader O'Connell and Kub,30,768,Hidden
Hartmann Reilly,35,344,Hidden
Hintz Schulist,15,904,Shown
Goyette Inc,51,704,Hidden
Strosin Auer,6,514,Hidden
Lesch Hamill and Frami,87,1215,Shown
Grimes Group,34,1149,Shown
Toy and Sons,87,1337,Hidden
Cormier Inc,31,1175,Shown
Ritchie LLC,39,1092,Hidden
Ritchie and Sons,15,704,Shown
Sauer Gleason,24,277,Shown
Hoeger Skiles and Carter,43,162,Shown
Hand Funk,65,597,Hidden
Herman LLC,9,1113,Shown
Zemlak Macejkovic,45,984,Shown
Koelpin Kassulke and Kuhic,95,63,Hidden
Steuber Nolan,12,719,Shown
O'Kon Inc,87,1184,Hidden
Goodwin Kohler and Armstrong,92,463,Shown
Tillman Marquardt and Gutkowski,54,411,Shown
Turcotte Haley,12,463,Shown
Murazik Gerhold,96,1201,Hidden
Champlin Lueilwitz and Heller,52,1442,Shown
Haley Schamberger,95,84,Hidden
Watsica and Sons,82,671,Hidden
Kuphal Group,29,1018,Shown
Zieme Hirthe and Cartwright,51,1280,Shown
Streich Brown and Kulas,41,745,Shown
Pfannerstill Mayer and Dickens,15,561,Hidden
Morissette Group,81,978,Shown
Mosciski Group,2,408,Hidden
Pfannerstill O'Kon,92,1386,Shown
Homenick D'Amore and Grant,1,1087,Hidden
Lind Hoeger and Morissette,88,262,Shown
Blick Becker and Watsica,53,1089,Shown
Schroeder Jacobs,73,834,Shown
Hintz Vandervort,96,152,Hidden
Rodriguez Inc,43,1109,Shown
Mueller LLC,17,1270,Shown
Jones Little,23,583,Shown
Heidenreich Kuhic,15,960,Shown
Olson Fahey and VonRueden,81,312,Shown
Ruecker Group,68,572,Shown
Zemlak McClure and Cartwright,22,1178,Shown
Thompson LLC,61,703,Shown
Halvorson Simonis,86,1406,Shown
Jacobs Mitchell and Kassulke,7,1187,Hidden
Fisher and Sons,91,1318,Shown
Beatty Lindgren and Zieme,74,1452,Shown
Kuhn Heller,54,625,Shown
Larson Inc,86,474,Hidden
Upton Inc,75,74,Hidden
Crooks Heller and Reichert,26,1124,Hidden
Rice Wilkinson,92,117,Shown
Dach Balistreri,57,694,Shown
Moore Rodriguez,49,1303,Shown
Metz Kirlin and McDermott,65,612,Shown
Lynch Beahan and Cormier,10,1331,Hidden
Littel Group,14,825,Shown
Crist Inc,25,465,Shown
Wisozk Nader,85,130,Shown
Cormier Spencer,12,785,Hidden
Christiansen Group,1,1244,Shown
Hodkiewicz Friesen,21,39,Shown
Batz Willms,32,1398,Shown
Ratke Olson and Kutch,17,1246,Hidden
Lindgren Greenholt and Renner,37,826,Shown
Greenfelder Halvorson and Pfeffer,30,1342,Shown
Ryan LLC,99,797,Shown
Smith Group,25,913,Shown
Huel Stehr and Stehr,58,718,Hidden
Bernhard Casper and Hahn,54,406,Shown
Moen Kihn,67,219,Hidden
Nienow Kunde and Zulauf,50,137,Shown
Abshire Bode,12,747,Shown
Leuschke Durgan and Wehner,31,786,Hidden
Bahringer Sipes,63,572,Hidden
Brakus Schroeder,15,70,Shown
Ebert Macejkovic,69,444,Shown
Bailey and Sons,23,67,Shown
Shields Nienow and Jakubowski,3,1383,Hidden
Bayer Inc,2,1344,Hidden
Mertz Hirthe and Weimann,95,269,Shown
O'Connell Group,31,242,Hidden
MacGyver Graham,19,1093,Shown
Gleason Botsford,69,1137,Hidden
Conroy Group,76,1413,Shown
Lubowitz Schuppe,70,435,Hidden
Ullrich Grimes,18,456,Hidden
Bode Inc,12,1176,Hidden
Konopelski and Sons,64,1312,Hidden
Flatley Group,53,1077,Shown
Steuber Okuneva and Emmerich,50,1315,Shown
Muller Shields,85,448,Hidden
Wiegand Pfannerstill and Streich,21,1442,Hidden
Jacobson Doyle,3,1103,Hidden
Weber Group,13,284,Hidden
Runolfsdottir Ferry,54,730,Shown
Keebler LLC,46,1085,Hidden
Quigley LLC,2,1013,Shown
Ebert Beier,96,942,Hidden
Hudson Stehr and Wilkinson,92,971,Hidden
Carter Ledner,21,203,Shown
Hickle Turner,77,653,Hidden
Baumbach LLC,90,402,Hidden
Lowe Schumm,94,1294,Shown
Stroman Inc,64,335,Hidden
Bauch Osinski,59,828,Shown
Nader Group,10,245,Shown
Mraz Daugherty and Kessler,34,1428,Hidden
Kihn Dibbert and Blick,90,1007,Shown
Jacobs Batz and DuBuque,68,380,Shown
Hills Bauch,43,1493,Shown
Hayes Kemmer,16,246,Shown
Bernhard Inc,95,298,Shown
Schuster Tromp,49,572,Shown
Hegmann and Sons,99,1433,Shown
Schultz Hartmann and Glover,71,745,Shown
Gusikowski LLC,27,1169,Hidden
Hansen and Sons,32,37,Shown
Stanton Barrows and Wiegand,29,573,Hidden
Stamm LLC,14,1183,Shown
Kutch LLC,10,1363,Shown
Rohan Carroll and Considine,92,138,Shown
Marvin Schoen,45,932,Shown
Jacobson Gerlach and Strosin,16,1399,Shown
Hane Rogahn and Wintheiser,41,40,Hidden
Jacobi Cummerata,77,147,Hidden
Cummerata and Sons,93,285,Hidden
Bernhard Morissette,20,1457,Hidden
Senger LLC,93,647,Hidden
Hessel Renner and Waelchi,62,263,Shown
Hermann and Sons,1,287,Shown
McClure Nitzsche and Upton,17,332,Hidden
Gusikowski Hodkiewicz and Rowe,5,380,Hidden
Weber Kulas and Brakus,2,1158,Hidden
Sporer Hackett,96,261,Shown
Hahn Bogisich and Cremin,49,586,Hidden
Glover and Sons,92,835,Shown
Shanahan Feil,14,120,Hidden
Wyman and Sons,61,812,Hidden
Homenick Casper,96,519,Hidden
Kshlerin Jast,54,364,Shown
Gottlieb Lynch,75,257,Shown
Hermann Group,7,1308,Hidden
Cormier Thiel and McClure,73,413,Hidden
Torphy Inc,12,1446,Hidden
Towne Beahan,49,1386,Shown
Douglas Group,31,1474,Shown
Conroy Mills,55,74,Shown
Wuckert Group,37,396,Shown
Glover Inc,27,602,Hidden
Brekke Senger and Greenfelder,24,120,Shown
Kuhn Batz and Gibson,5,148,Hidden
Vandervort Koch and Mohr,24,601,Hidden
Strosin Farrell and Keeling,44,693,Shown
Beatty Ernser,97,136,Hidden
Bode Witting,75,1295,Hidden
Hayes Kemmer,20,675,Shown
Bernhard Inc,23,1403,Shown
Schuster Tromp,78,279,Shown
Hegmann and Sons,57,1496,Hidden
Schultz Hartmann and Glover,31,1292,Shown
Gusikowski LLC,99,1227,Shown
Hansen and Sons,43,1402,Shown
Stanton Barrows and Wiegand,31,117,Hidden
Stamm LLC,71,1058,Hidden
Kutch LLC,83,333,Hidden
Rohan Carroll and Considine,37,538,Hidden
Marvin Schoen,48,1038,Shown
Jacobson Gerlach and Strosin,72,1463,Shown
Hane Rogahn and Wintheiser,94,690,Hidden
Jacobi Cummerata,55,803,Hidden
Cummerata and Sons,79,183,Hidden
Bernhard Morissette,88,1000,Hidden
Funk Hagenes and Bogisich,53,776,Hidden
Koepp LLC,54,106,Hidden
Beatty Jacobi,3,810,Shown
Gorczany and Sons,98,866,Shown
Hartmann LLC,43,870,Shown
Klein Inc,69,166,Hidden
McKenzie Halvorson and Torp,65,661,Shown
Conroy Bradtke,75,926,Shown
Mitchell LLC,98,1483,Hidden
Wintheiser Nolan,20,972,Hidden
Wilkinson Kozey and Bergnaum,15,319,Hidden
Greenholt Rowe,3,1184,Shown
Quitzon Bosco,43,1426,Shown
Bechtelar Dach and Keeling,94,942,Hidden
Sauer Kuhic,48,457,Hidden
Feeney Inc,37,992,Hidden
Lehner Hilpert,94,1105,Shown
Watsica Reilly,33,536,Shown
Roberts Kunde and Daugherty,42,152,Shown
Kihn Gottlieb and O'Reilly,45,1092,Hidden
Wiza Funk and Renner,97,652,Shown
Koch Satterfield,82,793,Hidden
Lehner Stracke,13,404,Hidden
Wiza Nitzsche and Thiel,14,232,Hidden
Robel Inc,23,993,Hidden
Jerde Shields and Macejkovic,41,614,Shown
Daugherty Inc,25,1140,Hidden
Parisian and Sons,21,290,Shown
Kiehn Reichel and Legros,98,1266,Hidden
Kuphal Leuschke and McGlynn,84,969,Shown
DuBuque Rippin and Osinski,35,1188,Shown
Mitchell Bosco and Quitzon,58,701,Shown
Kiehn Adams and Abbott,47,618,Shown
Streich Rutherford and Breitenberg,50,115,Hidden
Thiel Rutherford and Beer,65,839,Shown
Sawayn Inc,92,1363,Shown
Watsica Leannon and Kutch,84,508,Hidden
Rowe Inc,33,240,Hidden
Hayes Morissette and Schuppe,15,942,Shown
Runolfsdottir LLC,52,489,Shown
Wisozk Inc,65,1226,Shown
Mertz Tremblay and Marks,68,237,Hidden
Fay Willms,51,762,Shown
Gibson LLC,13,775,Shown
Gutmann Bradtke and Christiansen,83,630,Hidden
Reinger Quitzon,35,141,Hidden
Murray Nolan and Stark,10,144,Hidden
Stehr Dach,7,801,Hidden
Pagac Inc,34,87,Hidden
Wyman Botsford,20,843,Hidden
O'Kon Group,94,716,Shown
Dickens Group,24,827,Shown
Batz Rodriguez and Lueilwitz,33,1090,Hidden
Torphy Schmidt,4,1222,Hidden
Reichel LLC,68,1045,Hidden
Conn Hahn and Gerhold,22,1386,Shown
Connelly Gorczany,20,1366,Hidden
Padberg LLC,60,726,Hidden
Schoen Group,35,680,Hidden
Weber Lueilwitz and Waters,72,156,Shown
Huel Nienow,97,1071,Shown
Friesen Baumbach,49,36,Shown
Spinka Lindgren,77,356,Hidden
Kunde LLC,56,1186,Shown
Glover Ullrich,68,1369,Hidden
Lowe Pfannerstill,34,1370,Hidden
Champlin Pagac,8,1098,Hidden
Baumbach Johnston and Cummerata,50,885,Shown
Carroll Hoeger and Kuhlman,94,1057,Shown
O'Keefe LLC,5,777,Hidden
Witting Hessel,14,750,Shown
Macejkovic Group,86,1093,Hidden
Bernier Wintheiser,97,1476,Hidden
Robel Rolfson and Osinski,30,283,Shown
Hansen Murphy,18,875,Hidden
Stiedemann Group,93,747,Hidden
Kuphal O'Connell and Marks,56,834,Hidden
Nienow Inc,94,665,Shown
Walsh Simonis,4,1009,Hidden
Franecki Group,92,1040,Hidden
Lynch O'Keefe,32,1125,Hidden
Stiedemann Luettgen,96,638,Shown
Hagenes Kihn,59,1148,Hidden
Gottlieb Toy,95,946,Shown
Wolff Group,43,155,Hidden
Heaney Group,26,964,Hidden
Maggio Schoen,46,784,Shown
Sawayn Group,78,221,Hidden
Nader O'Connell and Kub,27,219,Hidden
Hartmann Reilly,29,1399,Shown
Hintz Schulist,48,1420,Shown
Goyette Inc,69,446,Shown
Strosin Auer,18,701,Hidden
